DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200935088546,111,111 - Homicide: Handgun,100 BLOCK W FISHER AV,10/14/2009 8:09:00 PM,35,2,53. Highway (Outside Structure),2703811.13878419,265040.387702093
200902068422,123,123 - Homicide: Non-Traffic,2200 BLOCK COTTMAN AV,10/14/2009 10:13:00 AM,02,3,53. Highway (Outside Structure),2721095.16850328,272007.083912919
200919093290,111,111 - Homicide: Handgun,5600 BLOCK ARCH ST,10/13/2009 1:43:00 AM,19,2,53. Highway (Outside Structure),2673848.25565045,239310.435208784
200909050014,123,123 - Homicide: Non-Traffic,2000 BLOCK WALNUT ST,10/12/2009 1:16:00 PM,09,F,53. Highway (Outside Structure),2690380.90058528,235406.214525201
200917050371,111,111 - Homicide: Handgun,1700 BLOCK S CHADWICK ST,10/11/2009 11:58:00 PM,17,A,53. Highway (Outside Structure),2691138.32018246,227827.96190675
200935087504,118,118 - Homicide: felon by Civilian,6400 BLOCK N 15TH ST,10/11/2009 12:03:00 AM,35,K,53. Highway (Outside Structure),2698029.49207511,272412.785811532
200916062661,116,116 - Homicide: Other,4100 BLOCK W GIRARD AV,10/9/2009 3:47:00 PM,16,2,70. Private Residence,2681235.42408411,243597.0412681
200917049753,111,111 - Homicide: Handgun,2100 BLOCK ELLSWORTH ST,10/9/2009 12:07:00 AM,17,J,70. Private Residence,2689303.40384446,230903.119248096
200914078123,111,111 - Homicide: Handgun,100 BLOCK E DUVAL ST,10/8/2009 8:33:00 PM,14,J,53. Highway (Outside Structure),2687856.35121302,270153.166061153
200914078084,111,111 - Homicide: Handgun,400 BLOCK E GOWEN AV,10/8/2009 6:47:00 PM,14,P,70. Private Residence,2686076.39096088,278617.151699854
200904043777,123,123 - Homicide: Non-Traffic,1700 BLOCK E PASSYUNK AV,10/8/2009 1:36:00 PM,04,D,53. Highway (Outside Structure),2693232.95106954,227290.23894325
200922066536,111,111 - Homicide: Handgun,2500 BLOCK N CLEVELAND ST,10/7/2009 6:39:00 PM,22,2,70. Private Residence,2693525.5746664,250712.861858583
200908045270,123,123 - Homicide: Non-Traffic,3300 BLOCK S KESWICK RD,10/7/2009 5:48:00 PM,08,H,53. Highway (Outside Structure),2740166.62763013,282091.091816826
200914077226,111,111 - Homicide: Handgun,7600 BLOCK OGONTZ AV,10/5/2009 6:09:00 PM,14,Q,53. Highway (Outside Structure),2694042.32732496,279064.628121804
200904043145,111,111 - Homicide: Handgun,1800 BLOCK S 7TH ST,10/4/2009 4:21:00 AM,04,L,53. Highway (Outside Structure),2695508.29773621,226608.722477215
200915109478,111,111 - Homicide: Handgun,4100 BLOCK TORRESDALE AV,10/4/2009 1:58:00 AM,15,1,53. Highway (Outside Structure),2713376.70768858,256319.690078505
200901032103,111,111 - Homicide: Handgun,2000 BLOCK S NORWOOD ST,10/1/2009 7:58:00 PM,01,B,53. Highway (Outside Structure),2688769.28023923,226733.181947072
